area,aar,hy,n_samples,sopcorr,n0,n1,n2,n3,n4,mw0,mw1,mw2,mw3,mw4,ton
7r,1983,2,,1,0,0,0,0,0,0.0037419831,0.0078110635,0.0116280686,0.0148718024,0.0156960591,0
7r,1984,2,0,1.8894333846,0,33.432360787,3.3399127824,1.1797701868,0,0.0070702278,0.0141679576,0.0213365275,0.0280313693,0.0296566581,0.5780009858
7r,1985,2,,1,0,0,0,0,0,0.0037419831,0.0078110635,0.0116280686,0.0148718024,0.0156960591,0
7r,1986,2,0,1.0499142996,40982.581342,40821.073632,2728.3266678,0,0,0.0038228279,0.0129395066,0.0202771663,0.015614118,0.0164795169,740.19664005
7r,1987,2,,1,0,0,0,0,0,0.0037419831,0.0078110635,0.0116280686,0.0148718024,0.0156960591,0
7r,1988,2,0,1.3065351582,2224.8411618,216.31336849,57.323885649,20.063359977,2.8661942825,0.004254535,0.0056131,0.0151050043,0.021052287,0.0290585565,12.051397742
7r,1989,2,,1,0,0,0,0,0,0.0037419831,0.0078110635,0.0116280686,0.0148718024,0.0156960591,0
7r,1990,2,,1,0,0,0,0,0,0.0037419831,0.0078110635,0.0116280686,0.0148718024,0.0156960591,0
7r,1991,2,0,0.8246608211,157.28456433,10.003557044,0.3234406435,0.0924116124,0.0346543547,0.0036800374,0.0056017224,0.0115261324,0.0269519518,0.012943925,0.6415174859
7r,1992,2,,1,0,0,0,0,0,0.0037419831,0.0078110635,0.0116280686,0.0148718024,0.0156960591,0
7r,1993,2,0,0.8692126948,3435.3449201,200.46464697,83.909472528,22.866281139,7.7954208588,0.0032525792,0.0067894755,0.0101072649,0.0129267594,0.0136432139,13.784818055
7r,1994,2,,1,0,0,0,0,0,0.0037419831,0.0078110635,0.0116280686,0.0148718024,0.0156960591,0
7r,1995,2,,1,0,0,0,0,0,0.0037419831,0.0078110635,0.0116280686,0.0148718024,0.0156960591,0
7r,1996,2,0,0.8635375707,2219.4906297,486.69278465,77.161351303,12.023407627,21.847484741,0.003231343,0.0067451468,0.0100412742,0.0128423601,0.0135541368,11.680080771
7r,1997,2,0,0.7455667639,10737.662743,64743.102476,2328.1414845,271.3056641,125.33735215,0.0027898982,0.0058236693,0.0086695015,0.0110879216,0.01170246,431.65820366
7r,1998,2,0,0.7640144958,748710.82942,64644.922043,59533.237252,6372.8188985,1501.6630149,0.0028589293,0.0059677657,0.008884013,0.0113622726,0.0119920167,3145.6088256
7r,1999,2,0,1.0152200848,464205.53014,19599.986391,1654.9805865,18653.841228,2957.3532913,0.0037989364,0.0079299485,0.0118050488,0.0150981525,0.0159349545,2267.2151218
7r,2000,2,0,1.0469517243,43148.707735,25206.131691,3862.5117404,4522.1879956,4159.9269757,0.0039176757,0.0081778064,0.0121740265,0.0155700592,0.0164330162,560.96670865
7r,2001,2,0,0.7261409207,68809.942399,8153.802965,182.07748817,26.623074797,97.485591906,0.002717207,0.0056719328,0.0084436165,0.0107990243,0.0113975508,236.15467597
7r,2002,2,0,1.1333680606,0,36475.046563,6407.5149045,1618.2530293,1118.5837301,0.0042410441,0.0088528099,0.0131788816,0.0168552258,0.0177894121,454.52549998
7r,2003,2,0,0.7384655538,56781.005573,2278.6569977,3995.9939898,182.95927866,35.879784156,0.0027633256,0.0057682013,0.0085869282,0.0109823138,0.011590999,206.78667165
7r,2004,2,,1,0,0,0,0,0,0.0037419831,0.0078110635,0.0116280686,0.0148718024,0.0156960591,0
7r,2005,2,,1,0,0,0,0,0,0.0037419831,0.0078110635,0.0116280686,0.0148718024,0.0156960591,0
7r,2006,2,0,1.1880283909,0.000014771,8.5885303679,2.0497264861,1.3605709578,1.3071601379,0.0044455822,0.0092797652,0.0138144757,0.0176681235,0.0186473639,0.1564293339
7r,2007,2,,1,0,0,0,0,0,0.0037419831,0.0078110635,0.0116280686,0.0148718024,0.0156960591,0
7r,2008,2,,1,0,0,0,0,0,0.0037419831,0.0078110635,0.0116280686,0.0148718024,0.0156960591,0
7r,2009,2,,1,0,0,0,0,0,0.0037419831,0.0078110635,0.0116280686,0.0148718024,0.0156960591,0
7r,2010,2,,1,0,0,0,0,0,0.0037419831,0.0078110635,0.0116280686,0.0148718024,0.0156960591,0
7r,2011,2,,1,0,0,0,0,0,0.0037419831,0.0078110635,0.0116280686,0.0148718024,0.0156960591,0
7r,2012,2,,1,0,0,0,0,0,0.0037419831,0.0078110635,0.0116280686,0.0148718024,0.0156960591,0
7r,2013,2,,1,0,0,0,0,0,0.0037419831,0.0078110635,0.0116280686,0.0148718024,0.0156960591,0
7r,2014,2,,1,0,0,0,0,0,0.0037419831,0.0078110635,0.0116280686,0.0148718024,0.0156960591,0
7r,2015,2,,1,0,0,0,0,0,0.0037419831,0.0078110635,0.0116280686,0.0148718024,0.0156960591,0
7r,2016,2,,1,0,0,0,0,0,0.0037419831,0.0078110635,0.0116280686,0.0148718024,0.0156960591,0
7r,2017,2,0,0.9365058941,0.0000457942,0.0281033318,0.0042084329,0.0047298203,0.0010298602,0.0035043892,0.007315107,0.0108897548,0.0139275306,0.0146994519,0.0003325813
7r,2018,2,,1,0,0,0,0,0,0.0037419831,0.0078110635,0.0116280686,0.0148718024,0.0156960591,0
7r,2019,2,,1,0,0,0,0,0,0.0037419831,0.0078110635,0.0116280686,0.0148718024,0.0156960591,0
